제목,내용,기자,날짜
"강서구, 실전 같은 재난훈련으로 구민안전 지킨다",서울 강서구가 각종 재난사고로부터 구민의 소중한 생명과 재산을 지키기 위해 실전 같은 훈련에 들어간다. 구는 오는 14일부터 25일까지 자연과 공존하는 안...,박미영 기자,2022년 11월 08일 15:24
"마포구, ‘스스로 위기 탈출!’ 찾아가는 어린이 안전 체험 교육 실시",마포구는 어린이들의 안전사고를 예방하고 위기 상황에 스스로 대처하는 능력을 키우기 위해 초등학생을 대상으로 ‘찾아가는 어린이 안전 체험 교육’을 실시한다.,박미영 기자,2022년 11월 08일 15:22
"성동구, 재난 상황 발생 시 종합정보 한눈에 본다","성동구는 태풍, 폭설 등 재난 상황 발생 시 관련 정보를 종합해 볼 수 있는 재난 상황 안내 홈페이지를 개발해 지난 1일부터 본격적인 운영을 시작했다고 밝...",박미영 기자,2022년 11월 08일 15:20
우경정보기술 ‘2022 대한민국 ICT융합 엑스포’ 참가,인공지능 전문기업 우경정보기술(대표이사 박윤하)이 11월 11일까지 대구 엑스코에서 개최되는 ‘2022 대한민국 ICT융합 엑스포’에 참가했다. 지역 최대...,엄호식 기자,2022년 11월 08일 15:18
"매그니베르 랜섬웨어, 윈도 MOTW 우회해 타이포스쿼팅 방식 유포 ",매그니베르(Magniber) 랜섬웨어가 파일 출처 확인이 가능한 마이크로소프트 윈도의 MOTW 기능을 우회하면서 타이포스쿼팅 방식으로 활발하게 유포되는 것...,김영명 기자,2022년 11월 08일 15:12
"마이크로소프트, ‘마이크로소프트 이그나이트 스포트라이트 온 코리아’ 15일 개최",한국마이크로소프트가 오는 15일 인터컨티넨탈 서울 코엑스 호텔에서 ‘마이크로소프트 이그나이트 스포트라이트 온 코리아(Microsoft Ignite Spot...,김영명 기자,2022년 11월 08일 14:48
"화웨이, 5G 비즈니스 성공을 위한 새로운 5G 솔루션 선봬","화웨이가 이동통신사업자의 5G 네트워크 구축을 지원하는 새로운 5G 솔루션을 공개했다. 5G가 상용화된 지난 3년 간 네트워크 커버리지, 단말기, 사용자 ...",원병철 기자,2022년 11월 08일 14:41
"KISA, ‘제2회 메타버스 보안 세미나’ 개최","한국인터넷진흥원(KISA, 원장 이원태)은 주요 전방산업으로 급격히 확산 중인 메타버스 서비스와 융합산업의 보안강화를 위해 산업별 보안적용 방안을 제시하는...",원병철 기자,2022년 11월 08일 14:30
"저스티스 블레이드 해커단체, 사우디아라비아 표적으로 관련 기업 해킹",보안 블로그 시큐리티어페어즈는 스스로를 ‘저스티스 블레이드(Justice Blade)’라고 부르는 해커조직이 사우디아라비아를 비롯한 걸프만 협력회의(GCC...,권준  기자,2022년 11월 08일 14:13
"미국 법무부, 다크웹 시장에서 50,000개 비트코인 홈친 해커 유죄 평결 발표 ","IT 외신 블리핑컴퓨터에 따르면 미국 법무부가 다크웹 시장 ‘실크로드’에서 50,000개의 비트코인을 훔친 해커 제임스 종(James Zhong)의 유죄 ...",권준  기자,2022년 11월 08일 14:11
구글 플레이 등록 앱 가운데 악성 앱 4개 발견,"보안 외신 핵리드에 의하면 2022년 11월 1일, 멀웨어바이트 랩의 애널리스트 네이선 콜리어(Nathan Collier)는 구글 플레이 스토어에서 승인 ...",권준  기자,2022년 11월 08일 14:02
"최근 유포 중인 Azov 랜섬웨어, 한 번에 666바이트의 데이터 파괴",IT 외신 블리핑컴퓨터에 의하면 최근 전 세계적으로 많이 유포되는 Azov 랜섬웨어가 의도적으로 피해자의 데이터를 파괴하고 다른 프로그램을 감염시키는 데이...,권준  기자,2022년 11월 08일 13:27
"순천시, ‘순천시 다중 운집 행사 안전관리에 관한 조례안’ 제정",순천시는 이태원 사고와 같은 다중 운집 행사의 사고 재발 방지와 예방을 위해 ‘순천시 다중 운집 행사 안전관리에 관한 조례(안)’를 전국 최초로 제정한다고...,박미영 기자,2022년 11월 08일 13:06
"경기도소방, 11월~내년 2월 겨울철 소방안전대책 추진한다",경기도 소방재난본부는 대형 화재로 인한 인명 피해를 줄이기 위해 11월부터 내년 2월까지 4개월간 ‘2022년 겨울철 소방안전대책’을 추진한다고 밝혔다.,박미영 기자,2022년 11월 08일 13:04
"시큐레터, 문화체육관광부 및 한국교직원공제회 보안사업 수주",악성코드 탐지 및 차단 전문기업 시큐레터(대표 임차성)가 문화체육관광부 및 한국교직원공제회의 보안사업을 수주했다고 8일 밝혔다. 시큐레터는 올해 주요 증권...,김경애 기자,2022년 11월 08일 12:59
"파수, 국가과학기술인력개발원에 문서 관리 솔루션 제공",파수(대표 조규곤)가 국가과학기술인력개발원에 차세대 문서 관리 플랫폼 ‘랩소디(Wrapsody)’를 공급했다. 문서가상화 기술을 적용한 파수의 랩소디는 문...,김경애 기자,2022년 11월 08일 12:57
"파이오링크, 3분기 매출로는 역대 최대... 전년 대비 매출 17% 증가",클라우드 데이터센터 최적화 전문 기업인 파이오링크(대표 조영철)가 8일 공시를 통해 2022년 3분기 누적매출이 전년 동기 대비 17% 가량 증가한 약 4...,김경애 기자,2022년 11월 08일 11:55
"아크로니스, 카티아 이바노바 최고영업책임자 임명","통합 사이버 보호 선두기업 아크로니스(지사장 고목동)는 오늘, 본사가 아크로니스의 전세계 영업 조직을 이끌 새로운 최고 영업 책임자(CSO)로 카티아 이바...",김경애 기자,2022년 11월 08일 11:50
"스틸리언, 모바일 화면 캡처 방지 보안 솔루션 GS 인증 획득",사이버 보안 기업 스틸리언(대표 박찬암)은 모바일 화면 캡쳐 방지 솔루션 ‘앱수트 안티캡처’ 가 GS 인증 1등급을 획득했다고 8일 밝혔다. 이로써 스틸리...,김경애 기자,2022년 11월 08일 11:46
"하이테라, JTBC 골프예능 ‘버디보이즈’에 디지털무전기와 바디캠 협찬",전문 모바일 무전기 (PMR : Professional Mobile Radio) 통신 솔루션 선도 기업인 하이테라(Hytera)가 JTBC의 새 골프 예능...,엄호식 기자,2022년 11월 08일 11:44
"안랩블록체인컴퍼니, ‘2022 드림플러스 블록체인 해커톤’ 공식 파트너로 참가",안랩의 블록체인 자회사 안랩블록체인컴퍼니(대표 강석균)는 이달 25일부터 2박 3일간 서울 서초구 ‘한화생명 드림플러스 강남’에서 열리는 ‘2022 드림플...,김영명 기자,2022년 11월 08일 11:41
제14회 ‘코드게이트 2022’ 개최... 일반부 우승은 ‘The Duck’팀,국내 대표 국제해킹방어대회이자 글로벌보안컨퍼런스인 제14회 ‘코드게이트 2022’가 11월 7일부터 8일까지 서울 코엑스 그랜드볼룸에서 개최됐다. 올해로 ...,원병철 기자,2022년 11월 08일 11:36
"LG CNS, 거점 오피스 10배 이상 확대해 업무 효율성 극대화",DX전문기업 LG CNS가 거점 오피스를 대폭 확대해 업무 효율성을 극대화하고 임직원의 근무환경 혁신도 가속화한다. LG CNS는 최근 공유 오피스 기업 ...,김영명 기자,2022년 11월 08일 11:31
"FIDO 얼라이언스, 오는 12월 6일 ‘2022년 퍼블릭 세미나’ 개최","패스워드 기반 온라인 인증이 야기하는 문제점을 해결하고자 전 세계 300여개 기업과 정부, 공공기관이 함께하는 글로벌 기술표준화 비영리 단체 FIDO 얼라...",엄호식 기자,2022년 11월 07일 17:42
"NHN 클라우드, 모바일 앱 보호 ‘NHN 앱가드’로 모바일 보안 시장 공략 박차","NHN 클라우드(대표 백도민, 김동훈)의 모바일 앱 보호 서비스 ‘NHN AppGuard(이하 ‘NHN 앱가드’)’가 1,300개 이상 모바일 애플리케이션...",김영명 기자,2022년 11월 07일 17:07
"국내에서 활용도 높은 웹 에디터 8개, 주요 보안 취약점과 해결방안은? ","한국인터넷진흥원(KISA)은 중소기업 침해사고 피해지원 서비스 사업 수행 중 홈페이지에 기반한 악성코드 유포 및 개인정보 유출, 해킹 경우지 악용 등의 주...",김영명 기자,2022년 11월 07일 16:46
프루프포인트 CISO가 전망하는 2023년 사이버보안 이슈 7 ,"전세계 기관·조직을 파고든 사이버공격으로 정보보호최고책임자(CISO)들은 더없이 힘든 한 해를 보내고 있다. 랜섬웨어, 국가 주도 위협 행위자, 공급망 취...",김경애 기자,2022년 11월 07일 16:07
[인사] 인사이트코리아,△편집국장(이사) 장원수,권준  기자,2022년 11월 07일 16:05
"마이크로소프트, 공개된 제로데이 취약점 활용하는 공격 증가 경고",마이크로소프트는 회사 서버나 시스템에 침입하기 위해 공개된 제로데이 취약점을 악용하는 국가지원 해커조직과 사이버 범죄자들이 크게 증가하고 있다고 2022 ...,권준  기자,2022년 11월 07일 15:27
"록빗 3.0 랜섬웨어, Kearney & Company 데이터 탈취 주장",보안 외신 시큐리티어페어즈에 따르면 록빗(LockBit) 3.0 랜섬웨어 조직이 컨설팅 및 IT 서비스 제공업체인 Kearney & Company로부터 데...,권준  기자,2022년 11월 07일 15:18
마이크로소프트 Dynamics 365 Customer Voice 악용해 자격증명 훔치는 피싱 캠페인,보안 외신 핵리드에 의하면 마이크로소프트의 Dynamics 365 Customer Voice의 설문조사 기능으로 위장한 악성 이메일를 보내 자격증명을 훔치...,권준  기자,2022년 11월 07일 15:09
[테크칼럼] 의료용 IoT 디바이스의 위협? 저전력 블루투스 의료기기의 취약성,사물인터넷(IoT)을 통해  커넥티드 디바이스의 새로운 분야가 시작되고 있다. 제조업체들이 헤드셋과 키보드를 넘어 더욱 다양한 방식을 시도하고 있다. 이러...,원병철 기자,2022년 11월 07일 14:50
"아스트론시큐리티 조근석 대표 “클라우드 보안, 필연적으로 성장할 수밖에 없어”","직원의 75%가 연구개발자로 구성된 아스트론시큐리티는 클라우드 환경 연구 및 개발, 클라우드 취약점과 해킹 연구 및 개발, 네이티브 환경 담당자 등 클라우...",김경애 기자,2022년 11월 07일 14:42
온라인광고분쟁 자율규제 결의 선언식 개최... 26개 회원사 참여,"한국인터넷진흥원(KISA, 원장 이원태)은 한국디지털광고협회(회장 목영도)와 함께 광고업계 협력의지를 담은 온라인광고분쟁 관련 자율규제 결의 선언식을 지난...",원병철 기자,2022년 11월 07일 13:54
[BN미팅] 시큐아이 박사홍 프로가 뽑은 최근 보안이슈 TOP 3,라떼 시절을 연상케 하는 옛 감성의 노래를 즐겨듣고 펌프를 좋아하는 시큐아이 박사홍 프로는 차세대 보안리더 양성프로그램(BoB) 7기 보안제품개발트랙과 함...,김경애 기자,2022년 11월 07일 13:44
"안랩, ‘BIXPO 2022’에서 에너지·전력 분야 보안 솔루션 소개",안랩(대표 강석균)이 2일부터 4일까지 광주 김대중컨벤션센터에서 열린 ‘빛가람 국제 전력기술 엑스포 2022(이하 ‘BIXPO 2022’)’에 참가해 에너...,김영명 기자,2022년 11월 07일 11:54
"알체라 얼굴인식 솔루션, 국제표준화기구 ‘얼굴 위·변조 탐지 성능’ 인증",영상인식 AI 전문기업 알체라가 자사 얼굴인식 솔루션이 미국 iBeta의 ‘얼굴 위·변조 탐지 성능(PAD : Presentation Attack Dete...,엄호식 기자,2022년 11월 07일 11:50
"IT와 OT의 융합에서 가장 간과되는 것, 라스트 마일","사물인터넷이 넘쳐나는 시대에, 우리는 어딜 가도 인터넷 연결이 가능하고, 그러므로 클라우드도 자유롭게 사용할 수 있게 됐다. 애플리케이션 선택지도 광활하게...",문가용 기자,2022년 11월 07일 00:19
[Security Cafe] 18년간 이어진 정보보안 대표 나눔터 ‘시큐리티플러스’,지금이야 정보보안에 대한 관심도 높고 관련 자료도 많아져서 조금만 수고하면 필요한 자료를 찾을 수 있다. 하지만 2000년대만 해도 정보보안 관련 기업이나...,원병철 기자,2022년 11월 07일 00:13
[대중문화와 보안] 넷플릭스 드라마 ‘매니페스트’로 본 보안위협과 항공보안,넷플릭스 드라마 ‘매니페스트’는 어떻게 보면 일반적인 항공보안 소재 드라마와는 약간 결이 다르다. 항공기에 보안상 위험물품을 갖고 타서 항공기나 승객을 납...,김영명 기자,2022년 11월 06일 23:28
"한드림넷, ‘2022 대한민국 ICT융합 엑스포’ 참가, 보안스위치 신제품 소개",한드림넷(대표 서현원)이 오는 9일부터 11일까지 대구 엑스코에서 개최되는 ‘2022 대한민국 ICT융합엑스포(ITCE 2022)’에 참가해 클라우드 보안...,원병철 기자,2022년 11월 06일 10:09
"해커조직 ‘킬넷’, 미국 주요 공항 웹사이트 디도스 공격... 한국도 보안 ‘경고등’  ",친러 해커조직인 ‘킬넷(Killnet)’이 미국 주요 공항 웹사이트를 대상으로 디도스 공격을 감행하는 등 사이버위협이 고조됨에 따라 우리나라도 주요 항공 ...,권준  기자,2022년 11월 05일 23:08
